代码,名称,所属行业
SH600981,XD汇鸿集,贸易
SH600982,宁波能源,电力
SH600983,惠而浦,白色家电
SH600984,建设机械,专用设备
SH600985,淮北矿业,煤炭开采加工
SH600986,浙文互联,传媒
SH600987,航民股份,纺织制造
SH600988,赤峰黄金,贵金属
SH600989,宝丰能源,化学原料
SH600990,四创电子,国防军工
SH600992,贵绳股份,通用设备
SH600993,马应龙,中药
SH600995,文山电力,电力
SH600996,贵广网络,传媒
SH600997,开滦股份,煤炭开采加工
SH600998,九州通,医药商业
SH600999,招商证券,证券
SH601000,唐山港,港口航运
SH601001,晋控煤业,煤炭开采加工
SH601002,晋亿实业,通用设备
SH601003,柳钢股份,钢铁
SH601005,重庆钢铁,钢铁
SH601006,大秦铁路,公路铁路运输
SH601007,金陵饭店,酒店及餐饮
SH601008,连云港,港口航运
SH601009,南京银行,银行
SH601010,文峰股份,零售
SH601011,宝泰隆,煤炭开采加工
SH601012,隆基绿能,电力设备
SH601015,陕西黑猫,煤炭开采加工
SH601016,节能风电,电力
SH601018,宁波港,港口航运
SH601019,山东出版,传媒
SH601020,华钰矿业,工业金属
SH601021,春秋航空,机场航运
SH601028,玉龙股份,贸易
SH601038,一拖股份,专用设备
SH601058,赛轮轮胎,汽车零部件
SH601066,中信建投,证券
SH601068,中铝国际,建筑装饰
SH601069,西部黄金,贵金属
SH601077,渝农商行,银行
SH601086,国芳集团,零售
SH601088,中国神华,煤炭开采加工
SH601089,福元医药,化学制药
SH601098,中南传媒,传媒
SH601099,太平洋,证券
SH601100,恒立液压,专用设备
SH601101,昊华能源,煤炭开采加工
SH601106,中国一重,专用设备
SH601107,四川成渝,公路铁路运输
SH601108,财通证券,证券
SH601111,中国国航,机场航运
SH601113,华鼎股份,互联网电商
SH601116,三江购物,零售
SH601117,中国化学,建筑装饰
SH601118,海南橡胶,种植业与林业
SH601126,四方股份,电力设备
SH601127,小康股份,汽车整车
SH601128,常熟银行,银行
SH601137,博威合金,金属新材料
SH601138,工业富联,消费电子
SH601139,深圳燃气,燃气
SH601155,新城控股,房地产开发
SH601156,东航物流,物流
SH601158,重庆水务,环保
SH601162,天风证券,证券
SH601163,三角轮胎,汽车零部件
SH601166,兴业银行,银行
SH601168,西部矿业,工业金属
SH601169,北京银行,银行
SH601177,杭齿前进,通用设备
SH601179,中国西电,电力设备
SH601186,中国铁建,建筑装饰
SH601187,厦门银行,银行
SH601188,龙江交通,公路铁路运输
SH601198,东兴证券,证券
SH601199,江南水务,环保
SH601200,上海环境,环保
SH601208,东材科技,化工合成材料
SH601211,国泰君安,证券
SH601212,白银有色,工业金属
SH601216,君正集团,化学原料
SH601218,吉鑫科技,电力设备
SH601222,林洋能源,电力
SH601225,XD陕西煤,煤炭开采加工
SH601226,华电重工,建筑装饰
SH601228,广州港,港口航运
SH601229,XD上海银,银行
SH601231,环旭电子,消费电子
SH601233,桐昆股份,化工合成材料
SH601236,红塔证券,证券
SH601238,广汽集团,汽车整车
SH601258,庞大集团,汽车服务
SH601279,英利汽车,汽车零部件
SH601288,农业银行,银行
SH601298,青岛港,港口航运
SH601311,骆驼股份,电力设备
SH601318,中国平安,保险
SH601319,中国人保,保险
SH601326,秦港股份,港口航运
SH601328,交通银行,银行
SH601330,绿色动力,环保
SH601333,广深铁路,公路铁路运输
SH601336,新华保险,保险
SH601339,百隆东方,纺织制造
SH601360,三六零,计算机应用
SH601366,利群股份,零售
SH601368,绿城水务,环保
SH601369,陕鼓动力,通用设备
SH601375,中原证券,证券
SH601377,兴业证券,证券
SH601388,怡球资源,工业金属
SH601390,中国中铁,建筑装饰
SH601398,工商银行,银行
SH601399,国机重装,专用设备
SH601456,国联证券,证券
SH601500,通用股份,汽车零部件
SH601512,中新集团,房地产开发
SH601515,东风股份,包装印刷
SH601518,吉林高速,公路铁路运输
SH601519,大智慧,计算机应用
SH601528,瑞丰银行,银行
SH601555,东吴证券,证券
SH601566,九牧王,服装家纺
SH601567,三星医疗,电力设备
SH601568,北元集团,化学原料
SH601577,长沙银行,银行
SH601579,会稽山,饮料制造
SH601588,北辰实业,房地产开发
SH601595,上海电影,传媒
SH601598,中国外运,物流
SH601599,浙文影业,纺织制造
SH601600,中国铝业,工业金属
SH601601,中国太保,保险
SH601606,长城军工,国防军工
SH601607,上海医药,医药商业
SH601608,中信重工,专用设备
SH601609,金田股份,工业金属
SH601611,中国核建,建筑装饰
SH601615,明阳智能,电力设备
SH601616,广电电气,电力设备
SH601618,中国中冶,建筑装饰
SH601619,嘉泽新能,电力
